Accession;Organism;Classification;Host;Country
LC700118.1;ST10;ST;Felidae;Iran
LC700117.1;ST7;ST;Homo sapiens;Iran
LC700116.1;ST7;ST;Homo sapiens;Iran
LC700115.1;ST5;ST;Felidae;Iran
LC700114.1;ST3;ST;Homo sapiens;Iran
LC700113.1;ST3;ST;Homo sapiens;Iran
LC700112.1;ST3;ST;Homo sapiens;Iran
LC700111.1;ST3;ST;Homo sapiens;Iran
LC700110.1;ST2;ST;Homo sapiens;Iran
LC700109.1;ST2;ST;Homo sapiens;Iran
LC700108.1;ST1;ST;Felidae;Iran
LC700107.1;ST1;ST;Felidae;Iran
LC700106.1;ST1;ST;Homo sapiens;Iran
LC700105.1;ST1;ST;Homo sapiens;Iran
LC700104.1;ST1;ST;Felidae;Iran
KP233740.1;ST5;ST;Suidae;Philippines
KP233739.1;ST5;ST;Anseriformes;Philippines
KP233738.1;ST14;ST;Bovidae;Philippines
KP233737.1;ST7;ST;Anseriformes;Philippines
KP233736.1;ST7;ST;Galliformes;Philippines
KP233735.1;ST7;ST;Anseriformes;Philippines
KP233734.1;ST7;ST;Suidae;Philippines
KP233733.1;ST7;ST;Galliformes;Philippines
KP233732.1;ST7;ST;Galliformes;Philippines
KP233731.1;ST1;ST;Suidae;Philippines
KP233730.1;ST7;ST;Galliformes;Philippines
KP233729.1;ST5;ST;Suidae;Philippines
KP233728.1;ST5;ST;Suidae;Philippines
KP233727.1;ST5;ST;Suidae;Philippines
KP233726.1;ST5;ST;Suidae;Philippines
KP233725.1;ST5;ST;Suidae;Philippines
KP233724.1;ST5;ST;Suidae;Philippines
KP233723.1;ST5;ST;Suidae;Philippines
KP233722.1;ST1;ST;Suidae;Philippines
KP233721.1;ST1;ST;Suidae;Philippines
KP233720.1;ST1;ST;Suidae;Philippines
KP233719.1;ST1;ST;Suidae;Philippines
KP233718.1;ST1;ST;Suidae;Philippines
KP233717.1;ST1;ST;Suidae;Philippines
KP233716.1;ST1;ST;Suidae;Philippines
KP233715.1;ST1;ST;Suidae;Philippines
KP233714.1;ST1;ST;Suidae;Philippines
MG000954.1;ST1;ST;Suidae;China
MK861946.1;ST9;ST;Galliformes;China
MK861945.1;ST9;ST;Galliformes;China
MK861944.1;ST9;ST;Galliformes;China
MK861943.1;ST9;ST;Galliformes;China
MK861942.1;ST9;ST;Galliformes;China
MK861941.1;ST9;ST;Galliformes;China
MK861940.1;ST9;ST;Galliformes;China
MK861939.1;ST9;ST;Galliformes;China
MK861938.1;ST9;ST;Galliformes;China
MK861937.1;ST9;ST;Galliformes;China
MK861936.1;ST9;ST;Galliformes;China
MK861935.1;ST9;ST;Galliformes;China
MK861934.1;ST7;ST;Galliformes;China
MK861933.1;ST7;ST;Galliformes;China
MK861932.1;ST7;ST;Galliformes;China
MK357784.1;ST3;ST;Primate;China
MH294510.1;ST3;ST;Homo sapiens;Iran
MH294509.1;ST3;ST;Homo sapiens;Iran
MH294508.1;ST3;ST;Homo sapiens;Iran
MH294507.1;ST3;ST;Homo sapiens;Iran
MH294506.1;ST2;ST;Homo sapiens;Iran
MH294505.1;ST2;ST;Homo sapiens;Iran
MH294504.1;ST2;ST;Homo sapiens;Iran
MH294503.1;ST2;ST;Homo sapiens;Iran
MH294502.1;ST2;ST;Homo sapiens;Iran
MH294501.1;ST2;ST;Homo sapiens;Iran
MH294500.1;ST2;ST;Homo sapiens;Iran
MH294499.1;ST1;ST;Homo sapiens;Iran
MH294498.1;ST1;ST;Homo sapiens;Iran
MH294497.1;ST1;ST;Homo sapiens;Iran
MH294496.1;ST1;ST;Homo sapiens;Iran
MH294495.1;ST1;ST;Homo sapiens;Iran
MH294494.1;ST1;ST;Homo sapiens;Iran
MH294493.1;ST1;ST;Homo sapiens;Iran
MH294492.1;ST1;ST;Homo sapiens;Iran
MH294491.1;ST1;ST;Homo sapiens;Iran
MH294490.1;ST1;ST;Homo sapiens;Iran
MH294489.1;ST1;ST;Homo sapiens;Iran
MH294488.1;ST1;ST;Homo sapiens;Iran
MH294487.1;ST1;ST;Homo sapiens;Iran
MH294486.1;ST1;ST;Homo sapiens;Iran
MH221018.1;ST3;ST;Homo sapiens;Iran
MH221017.1;ST3;ST;Homo sapiens;Iran
MH221016.1;ST3;ST;Homo sapiens;Iran
MH221015.1;ST3;ST;Homo sapiens;Iran
MH221014.1;ST3;ST;Homo sapiens;Iran
MH221013.1;ST3;ST;Homo sapiens;Iran
MH221012.1;ST3;ST;Homo sapiens;Iran
MH221011.1;ST3;ST;Homo sapiens;Iran
MH221010.1;ST3;ST;Homo sapiens;Iran
MH221009.1;ST3;ST;Homo sapiens;Iran
MH221008.1;ST3;ST;Homo sapiens;Iran
MH221007.1;ST2;ST;Homo sapiens;Iran
MH221006.1;ST2;ST;Homo sapiens;Iran
MH221005.1;ST2;ST;Homo sapiens;Iran
MH221004.1;ST2;ST;Homo sapiens;Iran
MH221003.1;ST2;ST;Homo sapiens;Iran
MH221002.1;ST2;ST;Homo sapiens;Iran
MH221001.1;ST2;ST;Homo sapiens;Iran
MH221000.1;ST2;ST;Homo sapiens;Iran
MH220999.1;ST2;ST;Homo sapiens;Iran
MH220998.1;ST2;ST;Homo sapiens;Iran
MH220997.1;ST2;ST;Homo sapiens;Iran
MH220996.1;ST2;ST;Homo sapiens;Iran
MH220995.1;ST2;ST;Homo sapiens;Iran
MH220994.1;ST2;ST;Homo sapiens;Iran
MH220993.1;ST1;ST;Homo sapiens;Iran
MH220992.1;ST1;ST;Homo sapiens;Iran
MH220991.1;ST1;ST;Homo sapiens;Iran
MH220990.1;ST1;ST;Homo sapiens;Iran
MH220989.1;ST1;ST;Homo sapiens;Iran
MH220988.1;ST1;ST;Homo sapiens;Iran
MH220987.1;ST1;ST;Homo sapiens;Iran
MH220986.1;ST1;ST;Homo sapiens;Iran
MH220985.1;ST1;ST;Homo sapiens;Iran
MH220984.1;ST1;ST;Homo sapiens;Iran
MH220983.1;ST1;ST;Homo sapiens;Iran
MH220982.1;ST1;ST;Homo sapiens;Iran
MH220981.1;ST1;ST;Homo sapiens;Iran
MH220980.1;ST1;ST;Homo sapiens;Iran
MH220979.1;ST1;ST;Homo sapiens;Iran
MH220978.1;ST1;ST;Homo sapiens;Iran
MH220977.1;ST1;ST;Homo sapiens;Iran
MH220976.1;ST1;ST;Homo sapiens;Iran
MH220975.1;ST1;ST;Homo sapiens;Iran
MH177915.1;ST1;ST;Homo sapiens;Iran
MH177914.1;ST1;ST;Homo sapiens;Iran
MG831523.1;ST14;ST;Bovidae;Malaysia
MG831522.1;ST5;ST;Bovidae;Malaysia
MG831521.1;ST14;ST;Bovidae;Malaysia
MG831520.1;ST14;ST;Bovidae;Malaysia
MG831519.1;ST10;ST;Bovidae;Malaysia
MG831518.1;ST10;ST;Bovidae;Malaysia
MG831517.1;ST10;ST;Bovidae;Malaysia
MG831516.1;ST10;ST;Bovidae;Malaysia
MG831515.1;ST10;ST;Bovidae;Malaysia
MG831514.1;ST10;ST;Bovidae;Malaysia
MG831513.1;ST10;ST;Bovidae;Malaysia
MG831512.1;ST10;ST;Bovidae;Malaysia
MG831511.1;ST10;ST;Bovidae;Malaysia
MG831510.1;ST10;ST;Bovidae;Malaysia
MG831509.1;ST10;ST;Bovidae;Malaysia
MG831508.1;ST10;ST;Bovidae;Malaysia
MG831507.1;ST10;ST;Bovidae;Malaysia
MG831506.1;ST10;ST;Bovidae;Malaysia
MG831505.1;ST10;ST;Bovidae;Malaysia
MG831504.1;ST10;ST;Bovidae;Malaysia
MG831503.1;ST10;ST;Bovidae;Malaysia
MG831502.1;ST10;ST;Bovidae;Malaysia
MG831501.1;ST5;ST;Bovidae;Malaysia
MG831500.1;ST10;ST;Bovidae;Malaysia
MG831499.1;ST10;ST;Bovidae;Malaysia
MG831498.1;ST10;ST;Bovidae;Malaysia
MG831497.1;ST10;ST;Bovidae;Malaysia
MG831496.1;ST10;ST;Bovidae;Malaysia
MG831495.1;ST10;ST;Bovidae;Malaysia
MG831494.1;ST10;ST;Bovidae;Malaysia
MG831493.1;ST10;ST;Bovidae;Malaysia
MG831492.1;ST10;ST;Bovidae;Malaysia
MG831491.1;ST10;ST;Bovidae;Malaysia
MG831490.1;ST10;ST;Bovidae;Malaysia
MG831489.1;ST10;ST;Bovidae;Malaysia
MG831488.1;ST10;ST;Bovidae;Malaysia
MG831487.1;ST10;ST;Bovidae;Malaysia
MG831486.1;ST10;ST;Bovidae;Malaysia
MG831485.1;ST10;ST;Bovidae;Malaysia
MG831484.1;ST10;ST;Bovidae;Malaysia
MG831483.1;ST10;ST;Bovidae;Malaysia
MG831482.1;ST10;ST;Bovidae;Malaysia
MG831481.1;ST10;ST;Bovidae;Malaysia
MG831480.1;ST10;ST;Bovidae;Malaysia
MG831479.1;ST10;ST;Bovidae;Malaysia
MG831478.1;ST10;ST;Bovidae;Malaysia
MG831477.1;ST10;ST;Bovidae;Malaysia
MG831476.1;ST10;ST;Bovidae;Malaysia
MG831475.1;ST10;ST;Bovidae;Malaysia
MG831474.1;ST10;ST;Bovidae;Malaysia
MG831473.1;ST5;ST;Bovidae;Malaysia
MG831472.1;ST5;ST;Bovidae;Malaysia
MG831471.1;ST5;ST;Bovidae;Malaysia
MG831470.1;ST5;ST;Bovidae;Malaysia
MG831469.1;ST5;ST;Bovidae;Malaysia
MG831468.1;ST5;ST;Bovidae;Malaysia
MG831467.1;ST5;ST;Bovidae;Malaysia
MG831466.1;ST5;ST;Bovidae;Malaysia
MG831465.1;ST5;ST;Bovidae;Malaysia
MG831464.1;ST5;ST;Bovidae;Malaysia
MG831463.1;ST5;ST;Bovidae;Malaysia
MG831462.1;ST5;ST;Bovidae;Malaysia
MG831461.1;ST5;ST;Bovidae;Malaysia
MG831460.1;ST5;ST;Bovidae;Malaysia
MG831459.1;ST5;ST;Bovidae;Malaysia
MG831458.1;ST5;ST;Bovidae;Malaysia
MG831457.1;ST5;ST;Bovidae;Malaysia
MG831456.1;ST5;ST;Bovidae;Malaysia
MG831455.1;ST5;ST;Bovidae;Malaysia
MG831454.1;ST5;ST;Bovidae;Malaysia
MG831453.1;ST5;ST;Bovidae;Malaysia
MG831452.1;ST5;ST;Bovidae;Malaysia
MG831451.1;ST5;ST;Bovidae;Malaysia
MG831450.1;ST5;ST;Bovidae;Malaysia
MG831449.1;ST5;ST;Bovidae;Malaysia
MG831448.1;ST5;ST;Bovidae;Malaysia
MG831447.1;ST5;ST;Bovidae;Malaysia
MG831446.1;ST5;ST;Bovidae;Malaysia
MG831445.1;ST5;ST;Bovidae;Malaysia
MG831444.1;ST5;ST;Bovidae;Malaysia
MG831443.1;ST5;ST;Bovidae;Malaysia
MG831442.1;ST5;ST;Bovidae;Malaysia
MG831441.1;ST5;ST;Bovidae;Malaysia
MG831440.1;ST5;ST;Bovidae;Malaysia
MG831439.1;ST5;ST;Bovidae;Malaysia
MG831438.1;ST5;ST;Bovidae;Malaysia
MG831437.1;ST5;ST;Bovidae;Malaysia
MG831436.1;ST5;ST;Bovidae;Malaysia
MG831435.1;ST5;ST;Bovidae;Malaysia
MG831434.1;ST5;ST;Bovidae;Malaysia
MG831433.1;ST5;ST;Bovidae;Malaysia
MG831432.1;ST5;ST;Bovidae;Malaysia
MG831431.1;ST5;ST;Bovidae;Malaysia
MG831430.1;ST5;ST;Bovidae;Malaysia
MG831429.1;ST5;ST;Bovidae;Malaysia
MG831428.1;ST5;ST;Bovidae;Malaysia
MG831427.1;ST5;ST;Bovidae;Malaysia
MG831426.1;ST5;ST;Bovidae;Malaysia
MG831425.1;ST3;ST;Bovidae;Malaysia
MG831424.1;ST3;ST;Bovidae;Malaysia
MG831423.1;ST3;ST;Bovidae;Malaysia
MG831422.1;ST3;ST;Bovidae;Malaysia
MG831421.1;ST1;ST;Bovidae;Malaysia
MG831420.1;ST1;ST;Bovidae;Malaysia
MG831419.1;ST1;ST;Bovidae;Malaysia
MG831418.1;ST1;ST;Bovidae;Malaysia
MG831417.1;ST1;ST;Bovidae;Malaysia
MG831416.1;ST1;ST;Bovidae;Malaysia
MG831415.1;ST1;ST;Bovidae;Malaysia
MG831414.1;ST1;ST;Bovidae;Malaysia
MG831413.1;ST1;ST;Bovidae;Malaysia
MH104999.1;ST1;ST;Homo sapiens;Thailand
MH104998.1;ST2;ST;Homo sapiens;Thailand
MH104997.1;ST2;ST;Homo sapiens;Thailand
MH104996.1;ST2;ST;Homo sapiens;Thailand
MH104995.1;ST1;ST;Homo sapiens;Thailand
MH104994.1;ST3;ST;Homo sapiens;Thailand
MH104993.1;ST3;ST;Homo sapiens;Thailand
MH104992.1;ST3;ST;Homo sapiens;Thailand
MH104991.1;ST2;ST;Homo sapiens;Thailand
MH104990.1;ST3;ST;Homo sapiens;Thailand
MH104989.1;ST3;ST;Canidae;Thailand
MH104988.1;ST5;ST;Suidae;Thailand
MH104987.1;ST5;ST;Suidae;Thailand
MH104986.1;ST5;ST;Suidae;Thailand
MH104985.1;ST5;ST;Suidae;Thailand
MH104984.1;ST5;ST;Suidae;Thailand
MH104983.1;ST5;ST;Suidae;Thailand
MH104982.1;ST5;ST;Suidae;Thailand
MH104981.1;ST1;ST;Suidae;Thailand
MH104980.1;ST5;ST;Suidae;Thailand
MH104979.1;ST5;ST;Suidae;Thailand
MH104978.1;ST5;ST;Suidae;Thailand
MH104977.1;ST5;ST;Suidae;Thailand
MH104976.1;ST5;ST;Suidae;Thailand
MH104975.1;ST5;ST;Suidae;Thailand
MH104974.1;ST5;ST;Suidae;Thailand
MH104973.1;ST5;ST;Suidae;Thailand
MH104972.1;ST5;ST;Suidae;Thailand
MH104971.1;ST5;ST;Suidae;Thailand
MH104970.1;ST5;ST;Suidae;Thailand
MH104969.1;ST5;ST;Suidae;Thailand
MH104968.1;ST5;ST;Suidae;Thailand
LC414153.1;ST3;ST;Homo sapiens;Iran
LC414152.1;ST3;ST;Homo sapiens;Iran
LC414151.1;ST1;ST;Homo sapiens;Iran
LC414150.1;ST3;ST;Homo sapiens;Iran
LC414149.1;ST1;ST;Homo sapiens;Iran
LC414148.1;ST1;ST;Homo sapiens;Iran
LC414147.1;ST2;ST;Homo sapiens;Iran
LC414146.1;ST3;ST;Homo sapiens;Iran
LC414145.1;ST1;ST;Homo sapiens;Iran
LC414144.1;ST1;ST;Homo sapiens;Iran
LC414143.1;ST3;ST;Homo sapiens;Iran
LC414142.1;ST3;ST;Homo sapiens;Iran
LC414141.1;ST3;ST;Homo sapiens;Iran
LC414140.1;ST3;ST;Homo sapiens;Iran
LC414139.1;ST1;ST;Homo sapiens;Iran
LC414138.1;ST1;ST;Homo sapiens;Iran
LC414137.1;ST2;ST;Homo sapiens;Iran
LC414136.1;ST3;ST;Homo sapiens;Iran
LC414135.1;ST1;ST;Homo sapiens;Iran
LC414134.1;ST1;ST;Homo sapiens;Iran
LC414133.1;ST2;ST;Homo sapiens;Iran
LC414132.1;ST3;ST;Homo sapiens;Iran
LC414131.1;ST3;ST;Homo sapiens;Iran
LC414130.1;ST1;ST;Homo sapiens;Iran
LC414129.1;ST3;ST;Homo sapiens;Iran
LC414128.1;ST1;ST;Homo sapiens;Iran
LC414127.1;ST3;ST;Homo sapiens;Iran
LC413928.1;ST2;ST;Homo sapiens;Iran
LC413927.1;ST1;ST;Homo sapiens;Iran
LC413926.1;ST3;ST;Homo sapiens;Iran
LC413925.1;ST3;ST;Homo sapiens;Iran
LC413924.1;ST1;ST;Homo sapiens;Iran
LC413923.1;ST1;ST;Homo sapiens;Iran
LC413922.1;ST3;ST;Homo sapiens;Iran
LC413894.1;ST1;ST;Homo sapiens;Iran
LC413893.1;ST3;ST;Homo sapiens;Iran
LC413892.1;ST3;ST;Homo sapiens;Iran
LC413891.1;ST3;ST;Homo sapiens;Iran
LC413890.1;ST2;ST;Homo sapiens;Iran
LC413889.1;ST1;ST;Homo sapiens;Iran
LC413853.1;ST1;ST;Homo sapiens;Iran
LC413852.1;ST1;ST;Homo sapiens;Iran
LC413851.1;ST3;ST;Homo sapiens;Iran
LC413241.1;ST2;ST;Homo sapiens;Iran
LC412909.1;ST3;ST;Homo sapiens;Iran
LC413622.1;ST1;ST;Homo sapiens;Iran
LC413621.1;ST3;ST;Homo sapiens;Iran
LC388740.1;ST14;ST;Bovidae;Japan
LC388739.1;ST14;ST;Bovidae;Japan
LC388738.1;ST5;ST;Bovidae;Japan
LC388737.1;ST5;ST;Bovidae;Japan
LC388736.1;ST14;ST;Bovidae;Japan
LC388735.1;ST14;ST;Bovidae;Japan
LC388734.1;ST14;ST;Bovidae;Japan
LC388733.1;ST14;ST;Bovidae;Japan
LC388732.1;ST14;ST;Bovidae;Japan
LC388731.1;ST14;ST;Bovidae;Japan
LC388730.1;ST14;ST;Bovidae;Japan
LC388729.1;ST14;ST;Bovidae;Japan
LC388728.1;ST14;ST;Bovidae;Japan
LC388727.1;ST14;ST;Bovidae;Japan
LC388726.1;ST14;ST;Bovidae;Japan
LC388725.1;ST14;ST;Bovidae;Japan
LC388724.1;ST14;ST;Bovidae;Japan
LC388723.1;ST14;ST;Bovidae;Japan
LC388722.1;ST14;ST;Bovidae;Japan
LC388721.1;ST14;ST;Bovidae;Japan
LC388720.1;ST14;ST;Bovidae;Japan
LC388719.1;ST14;ST;Bovidae;Japan
LC388718.1;ST14;ST;Bovidae;Japan
LC388717.1;ST14;ST;Bovidae;Japan
LC388716.1;ST14;ST;Bovidae;Japan
LC388715.1;ST14;ST;Bovidae;Japan
LC388714.1;ST10;ST;Bovidae;Japan
LC388713.1;ST14;ST;Bovidae;Japan
LC388712.1;ST14;ST;Bovidae;Japan
LC388711.1;ST14;ST;Bovidae;Japan
LC388710.1;ST14;ST;Bovidae;Japan
LC388709.1;ST14;ST;Bovidae;Japan
LC388708.1;ST14;ST;Bovidae;Japan
LC388707.1;ST14;ST;Bovidae;Japan
LC388706.1;ST14;ST;Bovidae;Japan
LC388705.1;ST14;ST;Bovidae;Japan
LC388704.1;ST14;ST;Bovidae;Japan
LC388703.1;ST14;ST;Bovidae;Japan
LC388702.1;ST14;ST;Bovidae;Japan
LC388701.1;ST14;ST;Bovidae;Japan
LC388700.1;ST14;ST;Bovidae;Japan
LC388699.1;ST14;ST;Bovidae;Japan
LC388698.1;ST14;ST;Bovidae;Japan
LC388697.1;ST14;ST;Bovidae;Japan
LC388696.1;ST14;ST;Bovidae;Japan
MF540015.1;ST3;ST;Homo sapiens;Mexico
MF540014.1;ST3;ST;Homo sapiens;Mexico
MF540013.1;ST3;ST;Homo sapiens;Mexico
MF540012.1;ST3;ST;Homo sapiens;Mexico
MF540011.1;ST3;ST;Homo sapiens;Mexico
MF540010.1;ST3;ST;Homo sapiens;Mexico
MF540009.1;ST3;ST;Homo sapiens;Mexico
MF540008.1;ST3;ST;Homo sapiens;Mexico
MF540007.1;ST3;ST;Homo sapiens;Mexico
MF540006.1;ST3;ST;Homo sapiens;Mexico
MF540005.1;ST3;ST;Homo sapiens;Mexico
MF540004.1;ST3;ST;Homo sapiens;Mexico
MF540003.1;ST3;ST;Homo sapiens;Mexico
MF540002.1;ST3;ST;Homo sapiens;Mexico
MF540001.1;ST3;ST;Homo sapiens;Mexico
MF540000.1;ST3;ST;Homo sapiens;Mexico
MF539999.1;ST3;ST;Homo sapiens;Mexico
MF539998.1;ST3;ST;Homo sapiens;Mexico
MF539997.1;ST3;ST;Homo sapiens;Mexico
MF539996.1;ST3;ST;Homo sapiens;Mexico
MF539995.1;ST3;ST;Homo sapiens;Mexico
MF539994.1;ST3;ST;Homo sapiens;Mexico
MF539993.1;ST3;ST;Homo sapiens;Mexico
MF539992.1;ST3;ST;Homo sapiens;Mexico
MF539991.1;ST3;ST;Homo sapiens;Mexico
MF539990.1;ST3;ST;Homo sapiens;Mexico
MF539989.1;ST3;ST;Homo sapiens;Mexico
MF539988.1;ST3;ST;Homo sapiens;Mexico
MF539987.1;ST3;ST;Homo sapiens;Mexico
MF539986.1;ST3;ST;Homo sapiens;Mexico
MF539985.1;ST3;ST;Homo sapiens;Mexico
MF539984.1;ST3;ST;Homo sapiens;Mexico
MF539983.1;ST3;ST;Homo sapiens;Mexico
MF539982.1;ST3;ST;Homo sapiens;Mexico
MF539981.1;ST3;ST;Homo sapiens;Mexico
MF539980.1;ST3;ST;Homo sapiens;Mexico
MF539979.1;ST3;ST;Homo sapiens;Mexico
MF539978.1;ST3;ST;Homo sapiens;Mexico
MF539977.1;ST3;ST;Homo sapiens;Mexico
MF539976.1;ST3;ST;Homo sapiens;Mexico
MF539975.1;ST3;ST;Homo sapiens;Mexico
MF539974.1;ST3;ST;Homo sapiens;Mexico
MF539973.1;ST3;ST;Homo sapiens;Mexico
MF539972.1;ST3;ST;Homo sapiens;Mexico
MF539971.1;ST3;ST;Homo sapiens;Mexico
MF539970.1;ST3;ST;Homo sapiens;Mexico
MF539969.1;ST3;ST;Homo sapiens;Mexico
MF539968.1;ST3;ST;Homo sapiens;Mexico
MF539967.1;ST3;ST;Homo sapiens;Mexico
MF539966.1;ST3;ST;Homo sapiens;Mexico
MF539965.1;ST3;ST;Homo sapiens;Mexico
MF539964.1;ST3;ST;Homo sapiens;Mexico
MF539963.1;ST3;ST;Homo sapiens;Mexico
MF539962.1;ST3;ST;Homo sapiens;Mexico
MF326289.1;ST10;ST;Bovidae;China
MF326288.1;ST10;ST;Bovidae;China
MF326287.1;ST14;ST;Bovidae;China
MF326286.1;ST5;ST;Bovidae;China
MF326285.1;ST4;ST;Bovidae;China
MF326284.1;ST10;ST;Bovidae;China
MF326283.1;ST10;ST;Bovidae;China
MF326282.1;ST10;ST;Bovidae;China
MF326281.1;ST10;ST;Bovidae;China
MF326280.1;ST14;ST;Bovidae;China
MF326279.1;ST10;ST;Bovidae;China
MF326278.1;ST14;ST;Bovidae;China
MF326277.1;ST14;ST;Bovidae;China
MF326276.1;ST5;ST;Bovidae;China
KY964546.1;ST7;ST;Suidae;Philippines
KY964545.1;ST3;ST;Suidae;Philippines
KY964544.1;ST1;ST;Canidae;Philippines
KY964543.1;ST5;ST;Insecta;Philippines
KY964539.1;ST7;ST;Galliformes;Philippines
KY964538.1;ST7;ST;Galliformes;Philippines
KY964537.1;ST7;ST;Galliformes;Philippines
KY964536.1;ST7;ST;Galliformes;Philippines
KY964535.1;ST7;ST;Galliformes;Philippines
KY964534.1;ST7;ST;Galliformes;Philippines
KY964533.1;ST7;ST;Galliformes;Philippines
KY964532.1;ST7;ST;Galliformes;Philippines
KY964531.1;ST6;ST;Galliformes;Philippines
KY964530.1;ST7;ST;Anseriformes;Philippines
KY964529.1;ST7;ST;Anseriformes;Philippines
KY964528.1;ST7;ST;Anseriformes;Philippines
KY964527.1;ST7;ST;Anseriformes;Philippines
KY964526.1;ST7;ST;Anseriformes;Philippines
KY964525.1;ST7;ST;Anseriformes;Philippines
KY964524.1;ST7;ST;Anseriformes;Philippines
KY964523.1;ST7;ST;Anseriformes;Philippines
KY964522.1;ST7;ST;Anseriformes;Philippines
KY964521.1;ST7;ST;Anseriformes;Philippines
KY964520.1;ST7;ST;Anseriformes;Philippines
KY964519.1;ST7;ST;Anseriformes;Philippines
KY964518.1;ST7;ST;Anseriformes;Philippines
KY964517.1;ST7;ST;Galliformes;Philippines
KY964516.1;ST6;ST;Galliformes;Philippines
KY964515.1;ST7;ST;Galliformes;Philippines
KY964514.1;ST6;ST;Galliformes;Philippines
KY964513.1;ST6;ST;Galliformes;Philippines
KY964512.1;ST7;ST;Galliformes;Philippines
KY964511.1;ST6;ST;Galliformes;Philippines
KY964510.1;ST7;ST;Galliformes;Philippines
MG000957.1;ST5;ST;Suidae;China
MG000956.1;ST5;ST;Suidae;China
MG000955.1;ST5;ST;Suidae;China
MG000953.1;ST5;ST;Suidae;China
MG000952.1;ST5;ST;Suidae;China
MG000951.1;ST5;ST;Suidae;China
MG000950.1;ST5;ST;Suidae;China
MG000949.1;ST5;ST;Suidae;China
MG000948.1;ST5;ST;Suidae;China
MG000947.1;ST5;ST;Suidae;China
MG000946.1;ST5;ST;Suidae;China
MG720858.1;ST1;ST;Homo sapiens;Poland
MG720857.1;ST1;ST;Homo sapiens;Poland
MG720856.1;ST7;ST;Homo sapiens;Poland
MG720855.1;ST2;ST;Homo sapiens;Poland
KU684646.1;ST3;ST;Homo sapiens;Poland
KU684645.1;B. hominis;Species;Homo sapiens;Poland
KU684644.1;B. hominis;Species;Homo sapiens;Poland
KU684643.1;ST6;ST;Homo sapiens;Poland
KU684642.1;ST6;ST;Homo sapiens;Poland
MG720557.1;ST7;ST;Galliformes;India
MG720556.1;ST7;ST;Galliformes;India
KX755873.1;ST1;ST;Homo sapiens;Iran
KX755872.1;ST3;ST;Homo sapiens;Iran
KX755871.1;ST3;ST;Homo sapiens;Iran
KX755870.1;ST3;ST;Homo sapiens;Iran
KX755869.1;ST3;ST;Homo sapiens;Iran
KX755868.1;ST3;ST;Homo sapiens;Iran
KX755867.1;ST3;ST;Homo sapiens;Iran
KX755866.1;ST3;ST;Homo sapiens;Iran
KY681142.1;ST1;ST;Homo sapiens;China
KY681141.1;ST1;ST;Homo sapiens;China
KY681140.1;ST1;ST;Homo sapiens;China
KX618192.1;ST3;ST;Homo sapiens;Singapore
KX358442.1;ST1;ST;Homo sapiens;Laos
KX358441.1;ST1;ST;Homo sapiens;Laos
KX358440.1;ST1;ST;Homo sapiens;Laos
KX358439.1;ST1;ST;Homo sapiens;Laos
KX358438.1;ST1;ST;Homo sapiens;Laos
KX358437.1;ST2;ST;Homo sapiens;Laos
KX358436.1;ST3;ST;Homo sapiens;Laos
KX358435.1;ST7;ST;Homo sapiens;Laos
KX358434.1;ST2;ST;Homo sapiens;Laos
KX358433.1;ST1;ST;Homo sapiens;Laos
KX358432.1;ST1;ST;Homo sapiens;Laos
KX358431.1;ST1;ST;Homo sapiens;Laos
KX358430.1;ST1;ST;Homo sapiens;Laos
KX358429.1;ST1;ST;Homo sapiens;Laos
KX358428.1;ST1;ST;Homo sapiens;Laos
KX358427.1;ST3;ST;Homo sapiens;Laos
KX358426.1;ST1;ST;Homo sapiens;Laos
KR259512.1;B. hominis;Species;Squamata;France
KR259511.1;ST10;ST;Testudines;France
