Accession;Organism;Classification;Host;Country
KU158951.1;B. hominis;Species;Homo sapiens;France
KU158950.1;B. hominis;Species;Homo sapiens;France
KU158949.1;B. hominis;Species;Homo sapiens;France
KU158948.1;B. hominis;Species;Homo sapiens;France
KU158947.1;B. hominis;Species;Homo sapiens;France
KU158946.1;B. hominis;Species;Homo sapiens;France
KU158945.1;B. hominis;Species;Homo sapiens;France
KU158944.1;B. hominis;Species;Homo sapiens;France
KU719570.1;ST3;ST;Homo sapiens;Iran
KU719569.1;ST3;ST;Homo sapiens;Iran
KU719568.1;ST3;ST;Homo sapiens;Iran
KU719567.1;ST3;ST;Homo sapiens;Iran
KU719566.1;ST3;ST;Homo sapiens;Iran
KU719565.1;B. hominis;Species;Homo sapiens;Iran
KU719564.1;B. hominis;Species;Homo sapiens;Iran
KU719563.1;B. hominis;Species;Homo sapiens;Iran
KU719562.1;B. hominis;Species;Homo sapiens;Iran
KU719561.1;B. hominis;Species;Homo sapiens;Iran
KU719560.1;B. hominis;Species;Homo sapiens;Iran
KU719559.1;B. hominis;Species;Homo sapiens;Iran
KU719558.1;ST3;ST;Homo sapiens;Iran
KU719557.1;B. hominis;Species;Homo sapiens;Iran
KU719556.1;ST3;ST;Homo sapiens;Iran
KU719555.1;ST3;ST;Homo sapiens;Iran
KU719554.1;B. hominis;Species;Homo sapiens;Iran
KU719553.1;ST3;ST;Homo sapiens;Iran
KU719552.1;B. hominis;Species;Homo sapiens;Iran
KU719551.1;ST2;ST;Homo sapiens;Iran
KU719550.1;ST2;ST;Homo sapiens;Iran
KU719549.1;ST2;ST;Homo sapiens;Iran
KU719548.1;ST2;ST;Homo sapiens;Iran
KU719547.1;ST2;ST;Homo sapiens;Iran
KU719546.1;ST2;ST;Homo sapiens;Iran
KU719545.1;ST2;ST;Homo sapiens;Iran
KU719544.1;ST2;ST;Homo sapiens;Iran
KU719543.1;ST2;ST;Homo sapiens;Iran
KU719542.1;ST2;ST;Homo sapiens;Iran
KU719541.1;ST2;ST;Homo sapiens;Iran
KU719540.1;B. hominis;Species;Homo sapiens;Iran
KU719539.1;ST2;ST;Homo sapiens;Iran
KU719538.1;ST2;ST;Homo sapiens;Iran
KU719537.1;ST2;ST;Homo sapiens;Iran
KU719536.1;ST2;ST;Homo sapiens;Iran
KU719535.1;ST2;ST;Homo sapiens;Iran
KU719534.1;ST2;ST;Homo sapiens;Iran
KU719533.1;ST2;ST;Homo sapiens;Iran
KU719532.1;ST2;ST;Homo sapiens;Iran
KU719531.1;ST2;ST;Homo sapiens;Iran
KU719530.1;ST1;ST;Homo sapiens;Iran
KU719529.1;ST1;ST;Homo sapiens;Iran
KU719528.1;ST1;ST;Homo sapiens;Iran
KU719527.1;B. hominis;Species;Homo sapiens;Iran
KU719526.1;B. hominis;Species;Homo sapiens;Iran
KU719525.1;ST1;ST;Homo sapiens;Iran
KU719524.1;ST1;ST;Homo sapiens;Iran
KU719523.1;B. hominis;Species;Homo sapiens;Iran
KU719522.1;ST1;ST;Homo sapiens;Iran
KU719521.1;ST1;ST;Homo sapiens;Iran
KU719520.1;B. hominis;Species;Homo sapiens;Iran
KU719519.1;ST1;ST;Homo sapiens;Iran
KU719518.1;ST1;ST;Homo sapiens;Iran
KU719517.1;B. hominis;Species;Homo sapiens;Iran
KU719516.1;ST1;ST;Homo sapiens;Iran
KU719515.1;B. hominis;Species;Homo sapiens;Iran
KU719514.1;ST1;ST;Homo sapiens;Iran
KU719513.1;ST1;ST;Homo sapiens;Iran
KU719512.1;B. hominis;Species;Homo sapiens;Iran
KU146575.1;ST5;ST;Testudines;Poland
KT438710.1;ST5;ST;Testudines;Japan
KT438709.1;ST5;ST;Testudines;Japan
KT438707.1;ST5;ST;Testudines;Japan
KT438705.1;ST5;ST;Testudines;Japan
KT438704.1;ST1;ST;Homo sapiens;Japan
KT438703.1;ST9;ST;Homo sapiens;Japan
KT438702.1;ST7;ST;Homo sapiens;Japan
KT438701.1;ST7;ST;Homo sapiens;Japan
KT438700.1;ST3;ST;Homo sapiens;Japan
KT438699.1;ST1;ST;Homo sapiens;Japan
KT438698.1;ST7;ST;Homo sapiens;Japan
KT438697.1;ST6;ST;Homo sapiens;Japan
KT438696.1;ST3;ST;Homo sapiens;Japan
KT438695.1;ST3;ST;Homo sapiens;Japan
KT438694.1;ST2;ST;Homo sapiens;Japan
KT438693.1;ST6;ST;Homo sapiens;Japan
KT438692.1;ST6;ST;Homo sapiens;Japan
KT438691.1;ST3;ST;Homo sapiens;Japan
KT438690.1;ST1;ST;Homo sapiens;Japan
KT438689.1;ST3;ST;Homo sapiens;Japan
KT438688.1;ST6;ST;Homo sapiens;Japan
KT438687.1;ST9;ST;Homo sapiens;Japan
KT438686.1;ST6;ST;Homo sapiens;Japan
KT438685.1;ST3;ST;Homo sapiens;Japan
KU311857.1;ST2;ST;Homo sapiens;Lebanon
KU311856.1;ST3;ST;Homo sapiens;Lebanon
KU311855.1;ST3;ST;Homo sapiens;Lebanon
KU311854.1;ST1;ST;Homo sapiens;Lebanon
KU311853.1;ST3;ST;Homo sapiens;Lebanon
KU311852.1;ST1;ST;Homo sapiens;Lebanon
KU311851.1;ST3;ST;Homo sapiens;Lebanon
KU311850.1;ST3;ST;Homo sapiens;Lebanon
KU311849.1;ST3;ST;Homo sapiens;Lebanon
KU311848.1;ST3;ST;Homo sapiens;Lebanon
KU311847.1;ST3;ST;Homo sapiens;Lebanon
KU311846.1;ST3;ST;Homo sapiens;Lebanon
KU311845.1;ST2;ST;Homo sapiens;Lebanon
KU311844.1;ST3;ST;Homo sapiens;Lebanon
KU311843.1;ST2;ST;Homo sapiens;Lebanon
KU311842.1;ST2;ST;Homo sapiens;Lebanon
KU311841.1;ST3;ST;Homo sapiens;Lebanon
KU311840.1;ST3;ST;Homo sapiens;Lebanon
KU311839.1;ST1;ST;Homo sapiens;Lebanon
KU311838.1;ST3;ST;Homo sapiens;Lebanon
KU311837.1;ST1;ST;Homo sapiens;Lebanon
KU311836.1;ST3;ST;Homo sapiens;Lebanon
KU311835.1;ST2;ST;Homo sapiens;Lebanon
KU311834.1;ST2;ST;Homo sapiens;Lebanon
KU311833.1;ST3;ST;Homo sapiens;Lebanon
KU311832.1;ST2;ST;Homo sapiens;Lebanon
KU311831.1;ST2;ST;Homo sapiens;Lebanon
KU311830.1;ST2;ST;Homo sapiens;Lebanon
KU311829.1;ST3;ST;Homo sapiens;Lebanon
KU311828.1;ST1;ST;Homo sapiens;Lebanon
KU311827.1;ST2;ST;Homo sapiens;Lebanon
KU311826.1;ST3;ST;Homo sapiens;Lebanon
KU311825.1;ST2;ST;Homo sapiens;Lebanon
KU311824.1;ST1;ST;Homo sapiens;Lebanon
KU311823.1;ST3;ST;Homo sapiens;Lebanon
KU311822.1;ST1;ST;Homo sapiens;Lebanon
KU311821.1;ST2;ST;Homo sapiens;Lebanon
KU311820.1;ST1;ST;Homo sapiens;Lebanon
KU311819.1;ST2;ST;Homo sapiens;Lebanon
KU311818.1;ST2;ST;Homo sapiens;Lebanon
KU311817.1;ST2;ST;Homo sapiens;Lebanon
KU311816.1;ST3;ST;Homo sapiens;Lebanon
KU311815.1;ST3;ST;Homo sapiens;Lebanon
KU311814.1;ST3;ST;Homo sapiens;Lebanon
KU311813.1;ST3;ST;Homo sapiens;Lebanon
KU311812.1;ST3;ST;Homo sapiens;Lebanon
KU311811.1;ST2;ST;Homo sapiens;Lebanon
KU311810.1;ST3;ST;Homo sapiens;Lebanon
KU311809.1;ST3;ST;Homo sapiens;Lebanon
KU311808.1;ST2;ST;Homo sapiens;Lebanon
KU311807.1;ST1;ST;Homo sapiens;Lebanon
KU311806.1;ST1;ST;Homo sapiens;Lebanon
KU311805.1;ST1;ST;Homo sapiens;Lebanon
KU311804.1;ST2;ST;Homo sapiens;Lebanon
KU311803.1;ST1;ST;Homo sapiens;Lebanon
KU311802.1;ST2;ST;Homo sapiens;Lebanon
KU311801.1;ST2;ST;Homo sapiens;Lebanon
KU311800.1;ST2;ST;Homo sapiens;Lebanon
KU311799.1;ST2;ST;Homo sapiens;Lebanon
KU311798.1;ST3;ST;Homo sapiens;Lebanon
KU311797.1;ST1;ST;Homo sapiens;Lebanon
KU311796.1;ST1;ST;Homo sapiens;Lebanon
KU311795.1;ST1;ST;Homo sapiens;Lebanon
KU311794.1;ST2;ST;Homo sapiens;Lebanon
KU311793.1;ST3;ST;Homo sapiens;Lebanon
KU311792.1;ST3;ST;Homo sapiens;Lebanon
KU311791.1;ST3;ST;Homo sapiens;Lebanon
KU311790.1;ST1;ST;Homo sapiens;Lebanon
KU311789.1;ST1;ST;Homo sapiens;Lebanon
KU311788.1;ST3;ST;Homo sapiens;Lebanon
KU311787.1;ST2;ST;Homo sapiens;Lebanon
KU311786.1;ST2;ST;Homo sapiens;Lebanon
KU311785.1;ST2;ST;Homo sapiens;Lebanon
KU311784.1;ST2;ST;Homo sapiens;Lebanon
KU311783.1;ST3;ST;Homo sapiens;Lebanon
KU311782.1;ST1;ST;Homo sapiens;Lebanon
KU311781.1;ST1;ST;Homo sapiens;Lebanon
KU311780.1;ST1;ST;Homo sapiens;Lebanon
KU311779.1;ST3;ST;Homo sapiens;Lebanon
KU311778.1;ST3;ST;Homo sapiens;Lebanon
KU311777.1;ST1;ST;Homo sapiens;Lebanon
KU311776.1;ST3;ST;Homo sapiens;Lebanon
KU311775.1;ST2;ST;Homo sapiens;Lebanon
KU311774.1;ST3;ST;Homo sapiens;Lebanon
KU311773.1;ST3;ST;Homo sapiens;Lebanon
KU311772.1;ST2;ST;Homo sapiens;Lebanon
KU311771.1;ST1;ST;Homo sapiens;Lebanon
KU311770.1;ST2;ST;Homo sapiens;Lebanon
KU311769.1;ST3;ST;Homo sapiens;Lebanon
KU311768.1;ST3;ST;Homo sapiens;Lebanon
KU311767.1;ST3;ST;Homo sapiens;Lebanon
KU311766.1;ST3;ST;Homo sapiens;Lebanon
KU311765.1;ST3;ST;Homo sapiens;Lebanon
KU311764.1;ST3;ST;Homo sapiens;Lebanon
KU311763.1;ST1;ST;Homo sapiens;Lebanon
KU311762.1;ST3;ST;Homo sapiens;Lebanon
KU311761.1;ST2;ST;Homo sapiens;Lebanon
KU311760.1;ST2;ST;Homo sapiens;Lebanon
KU311759.1;ST3;ST;Homo sapiens;Lebanon
KU311758.1;ST3;ST;Homo sapiens;Lebanon
KU311757.1;ST1;ST;Homo sapiens;Lebanon
KU311756.1;ST1;ST;Homo sapiens;Lebanon
KU311755.1;ST3;ST;Homo sapiens;Lebanon
KU311754.1;ST3;ST;Homo sapiens;Lebanon
KU311753.1;ST3;ST;Homo sapiens;Lebanon
KU311752.1;ST3;ST;Homo sapiens;Lebanon
KU311751.1;ST1;ST;Homo sapiens;Lebanon
KU311750.1;ST1;ST;Homo sapiens;Lebanon
KU311749.1;ST3;ST;Homo sapiens;Lebanon
KU311748.1;ST3;ST;Homo sapiens;Lebanon
KU311747.1;ST1;ST;Homo sapiens;Lebanon
KU311746.1;ST2;ST;Homo sapiens;Lebanon
KU311745.1;ST3;ST;Homo sapiens;Lebanon
KU311744.1;ST3;ST;Homo sapiens;Lebanon
KU311743.1;ST1;ST;Homo sapiens;Lebanon
KU311742.1;ST3;ST;Homo sapiens;Lebanon
KU311741.1;ST2;ST;Homo sapiens;Lebanon
KU311740.1;ST3;ST;Homo sapiens;Lebanon
KU311739.1;ST2;ST;Homo sapiens;Lebanon
KU311738.1;ST1;ST;Homo sapiens;Lebanon
KU311737.1;ST1;ST;Homo sapiens;Lebanon
KU311736.1;ST3;ST;Homo sapiens;Lebanon
KU311735.1;ST3;ST;Homo sapiens;Lebanon
KU311734.1;ST3;ST;Homo sapiens;Lebanon
KU311733.1;ST2;ST;Homo sapiens;Lebanon
KU311732.1;ST2;ST;Homo sapiens;Lebanon
KU311731.1;ST1;ST;Homo sapiens;Lebanon
KU311730.1;ST3;ST;Homo sapiens;Lebanon
KU311729.1;ST2;ST;Homo sapiens;Lebanon
KU311728.1;ST3;ST;Homo sapiens;Lebanon
KU311727.1;ST3;ST;Homo sapiens;Lebanon
KU311726.1;ST2;ST;Homo sapiens;Lebanon
KU311725.1;ST3;ST;Homo sapiens;Lebanon
KU311724.1;ST1;ST;Homo sapiens;Lebanon
KU311723.1;ST1;ST;Homo sapiens;Lebanon
KU311722.1;ST3;ST;Homo sapiens;Lebanon
KU311721.1;ST3;ST;Homo sapiens;Lebanon
KU311720.1;ST1;ST;Homo sapiens;Lebanon
KT819623.1;ST1;ST;Homo sapiens;Thailand
KT819622.1;ST3;ST;Homo sapiens;Thailand
KT819621.1;ST1;ST;Homo sapiens;Thailand
KT819620.1;ST3;ST;Homo sapiens;Thailand
KT819615.1;ST5;ST;Suidae;Thailand
KT819614.1;ST5;ST;Suidae;Thailand
KT819613.1;ST5;ST;Suidae;Thailand
KT819612.1;ST5;ST;Suidae;Thailand
KT819611.1;ST5;ST;Suidae;Thailand
KT819610.1;ST5;ST;Suidae;Thailand
KT819609.1;ST5;ST;Suidae;Thailand
KT819608.1;ST5;ST;Suidae;Thailand
KT819607.1;ST5;ST;Suidae;Thailand
KT819606.1;ST5;ST;Suidae;Thailand
KT819605.1;ST5;ST;Suidae;Thailand
KT819604.1;ST5;ST;Suidae;Thailand
KT819603.1;ST5;ST;Suidae;Thailand
KT819602.1;ST5;ST;Suidae;Thailand
KT819601.1;ST5;ST;Suidae;Thailand
KT819600.1;ST5;ST;Suidae;Thailand
KT819599.1;ST5;ST;Suidae;Thailand
KT819598.1;ST1;ST;Suidae;Thailand
KT819597.1;ST5;ST;Suidae;Thailand
KT819596.1;ST1;ST;Suidae;Thailand
KT819595.1;ST1;ST;Suidae;Thailand
KT819594.1;ST5;ST;Suidae;Thailand
KT819593.1;ST5;ST;Suidae;Thailand
KT819592.1;ST5;ST;Suidae;Thailand
KT819591.1;ST1;ST;Suidae;Thailand
KT819590.1;ST1;ST;Suidae;Thailand
KT819589.1;ST1;ST;Suidae;Thailand
KT819588.1;ST3;ST;Suidae;Thailand
AB915214.1;ST4;ST;Homo sapiens;Iran
AB915213.1;ST4;ST;Homo sapiens;Iran
AB915212.1;Blastocystis sp.;Unclassified;Homo sapiens;Iran
AB915211.1;ST4;ST;Homo sapiens;Iran
AB915210.1;ST4;ST;Homo sapiens;Iran
AB915209.1;ST5;ST;Homo sapiens;Iran
AB915208.1;ST3;ST;Homo sapiens;Iran
AB915207.1;ST5;ST;Homo sapiens;Iran
AB915206.1;Blastocystis sp.;Unclassified;Homo sapiens;Iran
AB915205.1;ST7;ST;Homo sapiens;Iran
AB915204.1;Blastocystis sp.;Unclassified;Homo sapiens;Iran
AB915203.1;ST4;ST;Homo sapiens;Iran
AB915202.1;ST4;ST;Homo sapiens;Iran
AB915201.1;ST7;ST;Homo sapiens;Iran
AB915200.1;Blastocystis sp.;Unclassified;Homo sapiens;Iran
AB915199.1;ST7;ST;Homo sapiens;Iran
AB915198.1;ST3;ST;Homo sapiens;Iran
AB915197.1;ST4;ST;Homo sapiens;Iran
AB915196.1;ST4;ST;Homo sapiens;Iran
AB915195.1;Blastocystis sp.;Unclassified;Homo sapiens;Iran
AB915194.1;ST4;ST;Homo sapiens;Iran
KP890050.1;ST2;ST;Canidae;France
KP890049.1;ST2;ST;Canidae;France
KP890048.1;ST10;ST;Canidae;France
KP890047.1;ST10;ST;Canidae;France
KP284175.1;ST8;ST;Homo sapiens;Italy
KP284174.1;ST6;ST;Homo sapiens;Italy
KP284173.1;ST4;ST;Homo sapiens;Italy
KP284172.1;ST3;ST;Homo sapiens;Italy
KP284171.1;ST3;ST;Homo sapiens;Italy
KP284170.1;ST2;ST;Homo sapiens;Italy
KP284169.1;ST2;ST;Homo sapiens;Italy
KP284168.1;ST1;ST;Homo sapiens;Italy
KP284167.1;ST1;ST;Homo sapiens;Italy
KM438236.1;ST1;ST;Homo sapiens;India
KM438235.1;ST20;ST;Homo sapiens;Sri Lanka
KM438234.1;ST31;ST;Homo sapiens;Ethiopia
KM438233.1;ST8;ST;Homo sapiens;India
KM438232.1;ST1;ST;Homo sapiens;Sri Lanka
KM438231.1;ST15;ST;Homo sapiens;Bangladesh
KM438230.1;ST10;ST;Homo sapiens;Indonesia
KM438229.1;ST1;ST;Homo sapiens;Philippines
KM438228.1;ST16;ST;Homo sapiens;India
KM438227.1;ST1;ST;Homo sapiens;Ethiopia
KM438226.1;ST1;ST;Homo sapiens;India
KM438225.1;ST7;ST;Homo sapiens;Nepal
KM438224.1;ST28;ST;Homo sapiens;Nepal
KM438223.1;ST25;ST;Homo sapiens;Bangladesh
KM438222.1;ST1;ST;Homo sapiens;Ethiopia
KM438221.1;ST1;ST;Homo sapiens;Bangladesh
KM438220.1;ST13;ST;Homo sapiens;Nepal
KM438219.1;ST30;ST;Homo sapiens;Indonesia
KM438218.1;ST2;ST;Homo sapiens;Ethiopia
KM438217.1;ST6;ST;Homo sapiens;Bangladesh
KM438216.1;ST5;ST;Homo sapiens;India
KM438215.1;ST23;ST;Homo sapiens;Indonesia
KM438214.1;ST1;ST;Homo sapiens;India
KM438213.1;ST3;ST;Homo sapiens;Nepal
KM438212.1;ST29;ST;Homo sapiens;Indonesia
KM438211.1;ST33;ST;Homo sapiens;Nepal
KM438210.1;ST21;ST;Homo sapiens;Bangladesh
KM438209.1;ST1;ST;Homo sapiens;India
KM438208.1;ST14;ST;Homo sapiens;Bangladesh
KM438207.1;ST24;ST;Homo sapiens;Indonesia
KM438206.1;ST4;ST;Homo sapiens;Philippines
KM438205.1;ST18;ST;Homo sapiens;Indonesia
KM438204.1;ST32;ST;Homo sapiens;India
KP675947.1;B. hominis;Species;Homo sapiens;Poland
LC068912.1;ST4;ST;Homo sapiens;Iran
LC068911.1;ST4;ST;Homo sapiens;Iran
LC068910.1;ST1;ST;Homo sapiens;Iran
LC068909.1;ST1;ST;Homo sapiens;Iran
LC068908.1;ST1;ST;Homo sapiens;Iran
LC068907.1;ST1;ST;Homo sapiens;Iran
LC068906.1;ST1;ST;Homo sapiens;Iran
LC068905.1;ST1;ST;Homo sapiens;Iran
LC068904.1;ST1;ST;Homo sapiens;Iran
LC068903.1;ST2;ST;Homo sapiens;Iran
LC068902.1;ST2;ST;Homo sapiens;Iran
LC068901.1;ST2;ST;Homo sapiens;Iran
LC068900.1;ST3;ST;Homo sapiens;Iran
LC068899.1;ST3;ST;Homo sapiens;Iran
LC068898.1;ST3;ST;Homo sapiens;Iran
LC068897.1;ST3;ST;Homo sapiens;Iran
LC068896.1;ST3;ST;Homo sapiens;Iran
LC068895.1;ST3;ST;Homo sapiens;Iran
LC068894.1;ST3;ST;Homo sapiens;Iran
LC068893.1;ST3;ST;Homo sapiens;Iran
LC068892.1;ST3;ST;Homo sapiens;Iran
LC068891.1;ST3;ST;Homo sapiens;Iran
LC068890.1;ST3;ST;Homo sapiens;Iran
LC068889.1;ST3;ST;Homo sapiens;Iran
LC068888.1;ST5;ST;Homo sapiens;Iran
LC068887.1;ST5;ST;Homo sapiens;Iran
LC068886.1;ST4;ST;Homo sapiens;Iran
LC068885.1;ST4;ST;Homo sapiens;Iran
LC068884.1;ST1;ST;Homo sapiens;Iran
LC068883.1;ST1;ST;Homo sapiens;Iran
LC068882.1;B. hominis;Species;Homo sapiens;Iran
LC068881.1;B. hominis;Species;Homo sapiens;Iran
LC068880.1;B. hominis;Species;Homo sapiens;Iran
LC068879.1;B. hominis;Species;Homo sapiens;Iran
LC068878.1;B. hominis;Species;Homo sapiens;Iran
LC068877.1;ST3;ST;Homo sapiens;Iran
LC068876.1;ST3;ST;Homo sapiens;Iran
LC068875.1;ST3;ST;Homo sapiens;Iran
LC068874.1;ST3;ST;Homo sapiens;Iran
LC068873.1;ST3;ST;Homo sapiens;Iran
LC068872.1;ST3;ST;Homo sapiens;Iran
LC068871.1;B. hominis;Species;Homo sapiens;Iran
LC068870.1;ST3;ST;Homo sapiens;Iran
LC068869.1;ST3;ST;Homo sapiens;Iran
LC068868.1;B. hominis;Species;Homo sapiens;Iran
LC068867.1;ST3;ST;Homo sapiens;Iran
LC068866.1;ST3;ST;Homo sapiens;Iran
KP244359.1;B. hominis;Species;Homo sapiens;Iran
KP244358.1;B. hominis;Species;Homo sapiens;Iran
KP244357.1;ST1;ST;Homo sapiens;Iran
KP244356.1;B. hominis;Species;Homo sapiens;Iran
KP244355.1;ST1;ST;Homo sapiens;Iran
KP244354.1;B. hominis;Species;Homo sapiens;Iran
KP244353.1;B. hominis;Species;Homo sapiens;Iran
KP244352.1;B. hominis;Species;Homo sapiens;Iran
KP244351.1;ST2;ST;Homo sapiens;Iran
KP244350.1;ST2;ST;Homo sapiens;Iran
KP244349.1;B. hominis;Species;Homo sapiens;Iran
KP244348.1;B. hominis;Species;Homo sapiens;Iran
KP244347.1;ST3;ST;Homo sapiens;Iran
KP244346.1;B. hominis;Species;Homo sapiens;Iran
KP244345.1;B. hominis;Species;Homo sapiens;Iran
KP244344.1;ST3;ST;Homo sapiens;Iran
KP244343.1;B. hominis;Species;Homo sapiens;Iran
KP244342.1;B. hominis;Species;Homo sapiens;Iran
KP244341.1;B. hominis;Species;Homo sapiens;Iran
KP244340.1;B. hominis;Species;Homo sapiens;Iran
KP244339.1;B. hominis;Species;Homo sapiens;Iran
KP244338.1;B. hominis;Species;Homo sapiens;Iran
KM116078.1;ST3;ST;Homo sapiens;Thailand
KM116077.1;ST3;ST;Homo sapiens;Thailand
KM116076.1;ST3;ST;Homo sapiens;Thailand
KM116075.1;ST3;ST;Homo sapiens;Thailand
KM116074.1;ST3;ST;Homo sapiens;Thailand
KM116073.1;ST3;ST;Homo sapiens;Thailand
KM116072.1;ST3;ST;Homo sapiens;Thailand
KM116071.1;ST3;ST;Homo sapiens;Thailand
KM116070.1;ST3;ST;Homo sapiens;Thailand
KM116069.1;ST1;ST;Homo sapiens;Thailand
KM116068.1;ST7;ST;Homo sapiens;Thailand
KM116067.1;ST3;ST;Homo sapiens;Thailand
KM116066.1;ST6;ST;Homo sapiens;Thailand
KM116065.1;ST6;ST;Homo sapiens;Thailand
KM116064.1;ST3;ST;Homo sapiens;Thailand
KM116063.1;ST1;ST;Homo sapiens;Thailand
KM116062.1;ST1;ST;Homo sapiens;Thailand
KM116061.1;ST3;ST;Homo sapiens;Thailand
KM116060.1;ST1;ST;Homo sapiens;Thailand
KM116059.1;ST7;ST;Homo sapiens;Thailand
KP734167.1;ST7;ST;Homo sapiens;Brazil
KP734166.1;ST7;ST;Homo sapiens;Brazil
JQ974946.1;ST8;ST;Primate;Czech Republic
JQ974945.1;ST8;ST;Primate;Czech Republic
JQ974944.1;ST5;ST;Primate;Czech Republic
JQ974943.1;ST4;ST;Primate;Czech Republic
JQ974942.1;ST4;ST;Primate;Czech Republic
JQ974941.1;ST4;ST;Primate;Czech Republic
JQ974940.1;ST3;ST;Homo sapiens;Czech Republic
JQ974939.1;ST2;ST;Primate;Czech Republic
JQ974938.1;ST2;ST;Primate;Czech Republic
JQ974937.1;ST1;ST;Primate;Czech Republic
JQ974936.1;ST1;ST;Primate;Uganda
JQ974935.1;ST1;ST;Primate;Uganda
JQ974934.1;ST1;ST;Primate;Uganda
JQ974933.1;ST1;ST;Primate;Uganda
JQ974932.1;ST1;ST;Primate;Uganda
JQ974931.1;ST1;ST;Primate;Uganda
JQ974930.1;ST1;ST;Primate;Czech Republic
JQ974929.1;ST1;ST;Primate;Czech Republic
JQ974928.1;ST1;ST;Homo sapiens;Czech Republic
JQ974927.1;ST1;ST;Primate;Czech Republic
JQ974926.1;ST1;ST;Primate;Czech Republic
JQ974925.1;ST1;ST;Homo sapiens;Czech Republic
JQ974924.1;ST1;ST;Primate;Czech Republic
JQ974923.1;ST1;ST;Primate;Czech Republic
JQ974922.1;ST1;ST;Homo sapiens;Uganda
KM374619.1;ST2;ST;Homo sapiens;Ecuador
KM374618.1;ST3;ST;Homo sapiens;Ecuador
KM374617.1;ST3;ST;Homo sapiens;Ecuador
KM374616.1;ST2;ST;Homo sapiens;Ecuador
KM374615.1;ST2;ST;Homo sapiens;Ecuador
KM374614.1;ST2;ST;Homo sapiens;Ecuador
KM374613.1;ST1;ST;Homo sapiens;Ecuador
KM374612.1;ST1;ST;Homo sapiens;Ecuador
KM374611.1;ST1;ST;Homo sapiens;Ecuador
KM374610.1;ST8;ST;Primate;Ecuador
KM374609.1;ST8;ST;Primate;Ecuador
KM374608.1;ST8;ST;Primate;Ecuador
KM213513.1;ST7;ST;Homo sapiens;Mexico
KM213512.1;ST3;ST;Homo sapiens;Mexico
KM213511.1;ST3;ST;Homo sapiens;Mexico
KM213510.1;ST3;ST;Homo sapiens;Mexico
KM213509.1;ST3;ST;Homo sapiens;Mexico
KM213508.1;ST3;ST;Homo sapiens;Mexico
KM213507.1;ST3;ST;Homo sapiens;Mexico
KM213506.1;ST3;ST;Homo sapiens;Mexico
KM213505.1;ST3;ST;Homo sapiens;Mexico
KM213503.1;ST2;ST;Homo sapiens;Mexico
KM213502.1;ST2;ST;Homo sapiens;Mexico
KM213501.1;ST2;ST;Homo sapiens;Mexico
KM213500.1;ST1;ST;Homo sapiens;Mexico
KM213499.1;ST2;ST;Homo sapiens;Mexico
KM213498.1;ST2;ST;Homo sapiens;Mexico
KM213497.1;ST2;ST;Homo sapiens;Mexico
KM213496.1;ST2;ST;Homo sapiens;Mexico
KM213495.1;ST2;ST;Homo sapiens;Mexico
KM213494.1;ST2;ST;Homo sapiens;Mexico
KM213493.1;ST2;ST;Homo sapiens;Mexico
KM213492.1;ST2;ST;Homo sapiens;Mexico
KM213491.1;ST1;ST;Homo sapiens;Mexico
KM213490.1;ST1;ST;Homo sapiens;Mexico
KM213489.1;ST1;ST;Homo sapiens;Mexico
KM213488.1;ST1;ST;Homo sapiens;Mexico
KM213487.1;ST1;ST;Homo sapiens;Mexico
KM213486.1;ST1;ST;Homo sapiens;Mexico
